mac,termtype,servicecode,svcname,addr,stime,rssi,vtype,vname,ssid,apname,apmac,channel,sec,xpos,ypos,nlong,lati,flags,assid,sid,day,svcode
B4-BF-F6-9A-07-5D," ",35020321030004,,,1562139914,-85,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800393735,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139887,-87,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800394736,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139914,-91,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800395737,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139886,-90,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800396738,20190703,0
F0-0F-EC-2D-20-7F," ",35020321030004,,,1562139927,-96,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800397639,20190703,0
6C-72-E7-35-8C-92," ",35020321030004,,,1562139894,-61,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800398640,20190703,0
DA-A1-19-BC-5B-46," ",35020321030004,,,1562139878,-67,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800399641,20190703,0
88-D5-0C-8D-AA-BD," ",35020321030004,,,1562139919,-97,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800400642,20190703,0
44-04-44-D5-1A-CA," ",35020321030004,,,1562139879,-43,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800401643,20190703,0
6C-72-E7-35-8C-92," ",35020321030004,,,1562139895,-63,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800402644,20190703,0
DA-A1-19-C1-F6-85," ",35020321030004,,,1562139870,-89,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800403645,20190703,0
DA-A1-19-D3-3B-26," ",35020321030004,,,1562139878,-63,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800404646,20190703,0
44-04-44-D5-1A-CA," ",35020321030004,,,1562139976,-70,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800405647,20190703,0
